epoch:0, iteration:7691, loss(train):0.16729111969470978, loss(valid):0.15980656445026398, acc(train):0.9561419486999512, acc(valid):0.9560649991035461, precision0:variable(0.956065), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.97753909), f1score1:variable(nan)
epoch:1, iteration:15382, loss(train):0.15511475503444672, loss(valid):0.16009476780891418, acc(train):0.9561392664909363, acc(valid):0.9560649991035461, precision0:variable(0.956065), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.97753909), f1score1:variable(nan)
epoch:2, iteration:23073, loss(train):0.1521499902009964, loss(valid):0.16027431190013885, acc(train):0.9561419486999512, acc(valid):0.9560649991035461, precision0:variable(0.956065), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.97753909), f1score1:variable(nan)
epoch:3, iteration:30764, loss(train):0.14947925508022308, loss(valid):0.16091673076152802, acc(train):0.9561392068862915, acc(valid):0.9560649991035461, precision0:variable(0.956065), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.97753909), f1score1:variable(nan)
epoch:4, iteration:38455, loss(train):0.1462811827659607, loss(valid):0.16195954382419586, acc(train):0.9561392664909363, acc(valid):0.9560649991035461, precision0:variable(0.956065), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.97753909), f1score1:variable(nan)
epoch:5, iteration:46146, loss(train):0.14264872670173645, loss(valid):0.1632101982831955, acc(train):0.9561364650726318, acc(valid):0.9560649991035461, precision0:variable(0.956065), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.97753909), f1score1:variable(nan)
epoch:6, iteration:53837, loss(train):0.1376781016588211, loss(valid):0.16620570421218872, acc(train):0.9561392068862915, acc(valid):0.9560460448265076, precision0:variable(0.95606417), precision1:variable(0.), recall0:variable(0.99998017), recall1:variable(0.), f1score0:variable(0.97752918), f1score1:variable(nan)
epoch:7, iteration:61528, loss(train):0.13118137419223785, loss(valid):0.1718243509531021, acc(train):0.9565076231956482, acc(valid):0.9559512138366699, precision0:variable(0.95606), precision1:variable(0.), recall0:variable(0.999881), recall1:variable(0.), f1score0:variable(0.97747962), f1score1:variable(nan)
epoch:8, iteration:69219, loss(train):0.12206008285284042, loss(valid):0.17717429995536804, acc(train):0.9580028653144836, acc(valid):0.9556288719177246, precision0:variable(0.95609775), precision1:variable(0.10344828), recall0:variable(0.99948433), recall1:variable(0.00129478), f1score0:variable(0.97730975), f1score1:variable(0.00255754)
epoch:9, iteration:76910, loss(train):0.11020734906196594, loss(valid):0.18503837287425995, acc(train):0.9612452983856201, acc(valid):0.953277587890625, precision0:variable(0.95618508), precision1:variable(0.08), recall0:variable(0.99680682), recall1:variable(0.0060423), f1score0:variable(0.97607349), f1score1:variable(0.01123596)
epoch:10, iteration:84601, loss(train):0.09607387334108353, loss(valid):0.19812269508838654, acc(train):0.9659558534622192, acc(valid):0.9490111470222473, precision0:variable(0.95658995), precision1:variable(0.1025641), recall0:variable(0.99166997), recall1:variable(0.02071644), f1score0:variable(0.97381414), f1score1:variable(0.03447038)
