epoch:0, iteration:7691, loss(train):0.3077985346317291, loss(valid):0.3004429042339325, acc(train):0.9017737507820129, acc(valid):0.9009613990783691, precision0:variable(0.90096137), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.94790077), f1score1:variable(nan)
epoch:1, iteration:15382, loss(train):0.2947911024093628, loss(valid):0.2996935248374939, acc(train):0.9019714593887329, acc(valid):0.9009613990783691, precision0:variable(0.90096137), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.94790077), f1score1:variable(nan)
epoch:2, iteration:23073, loss(train):0.290196031332016, loss(valid):0.30037394165992737, acc(train):0.901968777179718, acc(valid):0.9009613990783691, precision0:variable(0.90096137), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.94790077), f1score1:variable(nan)
epoch:3, iteration:30764, loss(train):0.2855703830718994, loss(valid):0.3034481108188629, acc(train):0.9019606709480286, acc(valid):0.9009613990783691, precision0:variable(0.90096137), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.94790077), f1score1:variable(nan)
epoch:4, iteration:38455, loss(train):0.2799006998538971, loss(valid):0.30365270376205444, acc(train):0.901968777179718, acc(valid):0.9009613990783691, precision0:variable(0.90096137), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.94790077), f1score1:variable(nan)
epoch:5, iteration:46146, loss(train):0.27172714471817017, loss(valid):0.3075005114078522, acc(train):0.9020744562149048, acc(valid):0.9007527828216553, precision0:variable(0.90097113), precision1:variable(0.13333333), recall0:variable(0.9997264), recall1:variable(0.00038292), f1score0:variable(0.94778323), f1score1:variable(0.00076365)
epoch:6, iteration:53837, loss(train):0.26071614027023315, loss(valid):0.31275826692581177, acc(train):0.9031065106391907, acc(valid):0.8999374508857727, precision0:variable(0.90130166), precision1:variable(0.25892857), recall0:variable(0.99825315), recall1:variable(0.00555236), f1score0:variable(0.94730325), f1score1:variable(0.0108716)
epoch:7, iteration:61528, loss(train):0.2458852380514145, loss(valid):0.3286157548427582, acc(train):0.9066171050071716, acc(valid):0.8973206877708435, precision0:variable(0.90159306), precision1:variable(0.20186335), recall0:variable(0.99459107), recall1:variable(0.01244496), f1score0:variable(0.94581153), f1score1:variable(0.02344454)
epoch:8, iteration:69219, loss(train):0.22763964533805847, loss(valid):0.35056713223457336, acc(train):0.9127037525177002, acc(valid):0.895974338054657, precision0:variable(0.90247453), precision1:variable(0.24952381), recall0:variable(0.99170771), recall1:variable(0.02508137), f1score0:variable(0.94498927), f1score1:variable(0.04558107)
epoch:9, iteration:76910, loss(train):0.20596466958522797, loss(valid):0.3810449540615082, acc(train):0.9204345941543579, acc(valid):0.8894134759902954, precision0:variable(0.90260016), precision1:variable(0.18640577), recall0:variable(0.98337332), recall1:variable(0.03465441), f1score0:variable(0.94125705), f1score1:variable(0.05844366)
epoch:10, iteration:84601, loss(train):0.18278561532497406, loss(valid):0.40407246351242065, acc(train):0.9287858605384827, acc(valid):0.8789085745811462, precision0:variable(0.90386504), precision1:variable(0.18031886), recall0:variable(0.96861978), recall1:variable(0.06279916), f1score0:variable(0.93512272), f1score1:variable(0.09315535)
