epoch:0, iteration:2450, loss(train):0.5541335344314575, loss(valid):0.5493819713592529, acc(train):0.7088520526885986, acc(valid):0.7121428847312927, precision0:variable(0.8094832), precision1:variable(0.6599616), recall0:variable(0.56066155), recall1:variable(0.8659868), f1score0:variable(0.66247906), f1score1:variable(0.749066)
epoch:1, iteration:4900, loss(train):0.5138578414916992, loss(valid):0.5628512501716614, acc(train):0.7383418083190918, acc(valid):0.7102380990982056, precision0:variable(0.82729754), precision1:variable(0.65333923), recall0:variable(0.53703485), recall1:variable(0.88614277), f1score0:variable(0.6512894), f1score1:variable(0.75213849)
epoch:2, iteration:7350, loss(train):0.45885416865348816, loss(valid):0.5965628623962402, acc(train):0.7728061079978943, acc(valid):0.6986309289932251, precision0:variable(0.73598779), precision1:variable(0.6705588), recall0:variable(0.62669817), recall1:variable(0.77168566), f1score0:variable(0.67696038), f1score1:variable(0.71757684)
epoch:3, iteration:9800, loss(train):0.3622613549232483, loss(valid):0.7385255098342896, acc(train):0.8304081559181213, acc(valid):0.6781547665596008, precision0:variable(0.70517982), precision1:variable(0.65661104), recall0:variable(0.62079149), recall1:variable(0.73641272), f1score0:variable(0.66030031), f1score1:variable(0.69422609)
epoch:4, iteration:12250, loss(train):0.24961212277412415, loss(valid):1.0149970054626465, acc(train):0.8890816569328308, acc(valid):0.6704166531562805, precision0:variable(0.69556505), precision1:variable(0.65020399), recall0:variable(0.61512109), recall1:variable(0.72657469), f1score0:variable(0.65287443), f1score1:variable(0.68627118)
epoch:5, iteration:14700, loss(train):0.16633042693138123, loss(valid):1.1482030153274536, acc(train):0.930076539516449, acc(valid):0.6617857217788696, precision0:variable(0.66610959), precision1:variable(0.65748546), recall0:variable(0.65918488), recall1:variable(0.66442711), f1score0:variable(0.66262914), f1score1:variable(0.66093806)
epoch:6, iteration:17150, loss(train):0.10633457452058792, loss(valid):1.6062026023864746, acc(train):0.9587244987487793, acc(valid):0.6692261695861816, precision0:variable(0.68053141), precision1:variable(0.65881546), recall0:variable(0.64748966), recall1:variable(0.69130174), f1score0:variable(0.66359949), f1score1:variable(0.67466776)
epoch:7, iteration:19600, loss(train):0.07880174368619919, loss(valid):1.8689996004104614, acc(train):0.9699490070343018, acc(valid):0.6622023582458496, precision0:variable(0.67468069), precision1:variable(0.6508963), recall0:variable(0.63650325), recall1:variable(0.68830234), f1score0:variable(0.65503617), f1score1:variable(0.66907691)
epoch:8, iteration:22050, loss(train):0.05716991052031517, loss(valid):2.1382195949554443, acc(train):0.9788775444030762, acc(valid):0.6672618985176086, precision0:variable(0.69143694), precision1:variable(0.6477236), recall0:variable(0.61334908), recall1:variable(0.7220156), f1score0:variable(0.65005634), f1score1:variable(0.68285487)
epoch:9, iteration:24500, loss(train):0.048526961356401443, loss(valid):1.9874622821807861, acc(train):0.9815561175346375, acc(valid):0.6553571224212646, precision0:variable(0.65864073), precision1:variable(0.65204923), recall0:variable(0.65599527), recall1:variable(0.65470906), f1score0:variable(0.65731534), f1score1:variable(0.65337644)
epoch:10, iteration:26950, loss(train):0.04197109118103981, loss(valid):2.26129412651062, acc(train):0.9852551221847534, acc(valid):0.6593452095985413, precision0:variable(0.67180451), precision1:variable(0.64807256), recall0:variable(0.63331364), recall1:variable(0.68578284), f1score0:variable(0.65199149), f1score1:variable(0.66639464)
epoch:11, iteration:29400, loss(train):0.03893819451332092, loss(valid):2.3169867992401123, acc(train):0.9859693646430969, acc(valid):0.6594047546386719, precision0:variable(0.66658569), precision1:variable(0.65250379), recall0:variable(0.6483166), recall1:variable(0.67066587), f1score0:variable(0.65732423), f1score1:variable(0.66146018)
epoch:12, iteration:31850, loss(train):0.0311534833163023, loss(valid):2.7892444133758545, acc(train):0.9890305995941162, acc(valid):0.6655952334403992, precision0:variable(0.68062429), precision1:variable(0.65231528), recall0:variable(0.63366804), recall1:variable(0.6980204), f1score0:variable(0.65630735), f1score1:variable(0.67439434)
epoch:13, iteration:34300, loss(train):0.027198314666748047, loss(valid):2.990614652633667, acc(train):0.9905102252960205, acc(valid):0.658214271068573, precision0:variable(0.66469094), precision1:variable(0.65193953), recall0:variable(0.64914353), recall1:variable(0.66742651), f1score0:variable(0.65682525), f1score1:variable(0.65959213)
epoch:14, iteration:36750, loss(train):0.027605824172496796, loss(valid):2.7880349159240723, acc(train):0.990408182144165, acc(valid):0.6625000238418579, precision0:variable(0.66746555), precision1:variable(0.65759905), recall0:variable(0.65800354), recall1:variable(0.66706659), f1score0:variable(0.66270077), f1score1:variable(0.66229899)
epoch:15, iteration:39200, loss(train):0.02464262582361698, loss(valid):2.6939189434051514, acc(train):0.9915816187858582, acc(valid):0.666190505027771, precision0:variable(0.67840639), precision1:variable(0.65506653), recall0:variable(0.64170112), recall1:variable(0.69106179), f1score0:variable(0.65954347), f1score1:variable(0.67258291)
epoch:16, iteration:41650, loss(train):0.021665412932634354, loss(valid):3.0919318199157715, acc(train):0.9922959208488464, acc(valid):0.6639285683631897, precision0:variable(0.67629769), precision1:variable(0.65269733), recall0:variable(0.63874778), recall1:variable(0.6895021), f1score0:variable(0.65698663), f1score1:variable(0.6705951)
epoch:17, iteration:44100, loss(train):0.018812820315361023, loss(valid):3.3913686275482178, acc(train):0.9934694170951843, acc(valid):0.668749988079071, precision0:variable(0.68979058), precision1:variable(0.65120087), recall0:variable(0.6225635), recall1:variable(0.71565687), f1score0:variable(0.65445514), f1score1:variable(0.68190912)
epoch:18, iteration:46550, loss(train):0.016525719314813614, loss(valid):3.4025156497955322, acc(train):0.994336724281311, acc(valid):0.6675000190734863, precision0:variable(0.68750814), precision1:variable(0.65066316), recall0:variable(0.62350856), recall1:variable(0.71217756), f1score0:variable(0.65394623), f1score1:variable(0.68003208)
epoch:19, iteration:49000, loss(train):0.01545470580458641, loss(valid):3.7262749671936035, acc(train):0.9948469400405884, acc(valid):0.6587499976158142, precision0:variable(0.65788257), precision1:variable(0.65967108), recall0:variable(0.67241583), recall1:variable(0.64487103), f1score0:variable(0.66506981), f1score1:variable(0.6521871)
epoch:20, iteration:51450, loss(train):0.015349903143942356, loss(valid):3.9365038871765137, acc(train):0.9950510263442993, acc(valid):0.6670833230018616, precision0:variable(0.68218726), precision1:variable(0.65373402), recall0:variable(0.63520378), recall1:variable(0.69946011), f1score0:variable(0.65785771), f1score1:variable(0.67582449)
epoch:21, iteration:53900, loss(train):0.013551241718232632, loss(valid):3.595691204071045, acc(train):0.9956122636795044, acc(valid):0.6580356955528259, precision0:variable(0.66970302), precision1:variable(0.64739358), recall0:variable(0.63402245), recall1:variable(0.68242352), f1score0:variable(0.65137448), f1score1:variable(0.66444717)
epoch:22, iteration:56350, loss(train):0.014821408316493034, loss(valid):4.032703399658203, acc(train):0.9945918321609497, acc(valid):0.6599404811859131, precision0:variable(0.66284024), precision1:variable(0.65700599), recall0:variable(0.66166568), recall1:variable(0.65818836), f1score0:variable(0.66225244), f1score1:variable(0.65759664)
epoch:23, iteration:58800, loss(train):0.014657160267233849, loss(valid):3.4460487365722656, acc(train):0.9956122636795044, acc(valid):0.6555356979370117, precision0:variable(0.66066715), precision1:variable(0.65048429), recall0:variable(0.650443), recall1:variable(0.66070786), f1score0:variable(0.65551521), f1score1:variable(0.65555622)
epoch:24, iteration:61250, loss(train):0.012288604862987995, loss(valid):3.3206827640533447, acc(train):0.9953826665878296, acc(valid):0.6588690280914307, precision0:variable(0.67036391), precision1:variable(0.64835916), recall0:variable(0.63544005), recall1:variable(0.68266347), f1score0:variable(0.65243496), f1score1:variable(0.66506925)
epoch:25, iteration:63700, loss(train):0.00971031840890646, loss(valid):3.772998809814453, acc(train):0.9965305924415588, acc(valid):0.6588095426559448, precision0:variable(0.66956198), precision1:variable(0.64889601), recall0:variable(0.63744832), recall1:variable(0.6805039), f1score0:variable(0.65311063), f1score1:variable(0.6643242)
epoch:26, iteration:66150, loss(train):0.009471012279391289, loss(valid):4.158146858215332, acc(train):0.9967857003211975, acc(valid):0.6606547832489014, precision0:variable(0.66028764), precision1:variable(0.66104182), recall0:variable(0.67253396), recall1:variable(0.64859028), f1score0:variable(0.66635454), f1score1:variable(0.65475686)
epoch:27, iteration:68600, loss(train):0.011074935086071491, loss(valid):4.251983165740967, acc(train):0.9960204362869263, acc(valid):0.6580356955528259, precision0:variable(0.6676942), precision1:variable(0.64902186), recall0:variable(0.63969285), recall1:variable(0.67666467), f1score0:variable(0.65339367), f1score1:variable(0.66255507)
epoch:28, iteration:71050, loss(train):0.00930955819785595, loss(valid):3.8330140113830566, acc(train):0.9972448945045471, acc(valid):0.6665475964546204, precision0:variable(0.6786918), precision1:variable(0.65547844), recall0:variable(0.64229179), recall1:variable(0.69118176), f1score0:variable(0.65999029), f1score1:variable(0.67285681)
epoch:29, iteration:73500, loss(train):0.010614549741148949, loss(valid):3.8272383213043213, acc(train):0.9963520169258118, acc(valid):0.6651785969734192, precision0:variable(0.68669471), precision1:variable(0.64737873), recall0:variable(0.61701122), recall1:variable(0.71409718), f1score0:variable(0.64999067), f1score1:variable(0.6791032)
epoch:30, iteration:75950, loss(train):0.0065834433771669865, loss(valid):4.912845611572266, acc(train):0.9976020455360413, acc(valid):0.6654762029647827, precision0:variable(0.68225496), precision1:variable(0.65091718), recall0:variable(0.62906084), recall1:variable(0.70245951), f1score0:variable(0.65457898), f1score1:variable(0.67570687)
epoch:31, iteration:78400, loss(train):0.008368538692593575, loss(valid):4.3902907371521, acc(train):0.9970663189888, acc(valid):0.6567261815071106, precision0:variable(0.66296207), precision1:variable(0.65066886), recall0:variable(0.6483166), recall1:variable(0.66526695), f1score0:variable(0.65555755), f1score1:variable(0.65788693)
epoch:32, iteration:80850, loss(train):0.005942794028669596, loss(valid):5.861156940460205, acc(train):0.9979591965675354, acc(valid):0.663273811340332, precision0:variable(0.66977025), precision1:variable(0.65697538), recall0:variable(0.65434141), recall1:variable(0.67234553), f1score0:variable(0.66196594), f1score1:variable(0.6645716)
epoch:33, iteration:83300, loss(train):0.006361167877912521, loss(valid):4.42473030090332, acc(train):0.9977551102638245, acc(valid):0.6661309599876404, precision0:variable(0.67389187), precision1:variable(0.65870983), recall0:variable(0.65375074), recall1:variable(0.67870426), f1score0:variable(0.66366853), f1score1:variable(0.66855758)
epoch:34, iteration:85750, loss(train):0.006848280783742666, loss(valid):4.487504005432129, acc(train):0.9979081749916077, acc(valid):0.6599404811859131, precision0:variable(0.66192045), precision1:variable(0.65791376), recall0:variable(0.66450089), recall1:variable(0.65530894), f1score0:variable(0.66320816), f1score1:variable(0.65660876)
epoch:35, iteration:88200, loss(train):0.008138611912727356, loss(valid):4.676356792449951, acc(train):0.9973469376564026, acc(valid):0.6623214483261108, precision0:variable(0.67137245), precision1:variable(0.65380171), recall0:variable(0.64607206), recall1:variable(0.67882424), f1score0:variable(0.65847932), f1score1:variable(0.66607805)
epoch:36, iteration:90650, loss(train):0.006420226767659187, loss(valid):4.838172912597656, acc(train):0.9975765347480774, acc(valid):0.6541666388511658, precision0:variable(0.65745463), precision1:variable(0.65085434), recall0:variable(0.65481394), recall1:variable(0.6535093), f1score0:variable(0.65613163), f1score1:variable(0.65217912)
epoch:37, iteration:93100, loss(train):0.005953454412519932, loss(valid):5.796933650970459, acc(train):0.9980102181434631, acc(valid):0.6589285731315613, precision0:variable(0.66216056), precision1:variable(0.65567109), recall0:variable(0.65965741), recall1:variable(0.65818836), f1score0:variable(0.66090662), f1score1:variable(0.65692731)
epoch:38, iteration:95550, loss(train):0.005585389211773872, loss(valid):4.3958048820495605, acc(train):0.9982143044471741, acc(valid):0.6573809385299683, precision0:variable(0.6582175), precision1:variable(0.65651171), recall0:variable(0.66568222), recall1:variable(0.64895021), f1score0:variable(0.66192881), f1score1:variable(0.65270906)
epoch:39, iteration:98000, loss(train):0.005648334044963121, loss(valid):5.172527313232422, acc(train):0.9980867505073547, acc(valid):0.661130964756012, precision0:variable(0.66898317), precision1:variable(0.65364038), recall0:variable(0.64819846), recall1:variable(0.67426515), f1score0:variable(0.65842683), f1score1:variable(0.66379259)
