epoch:0, iteration:2450, loss(train):0.5706659555435181, loss(valid):0.566339373588562, acc(train):0.6870408058166504, acc(valid):0.6980952620506287, precision0:variable(0.79384669), precision1:variable(0.64823029), recall0:variable(0.54028156), recall1:variable(0.85791302), f1score0:variable(0.64296776), f1score1:variable(0.73847582)
epoch:1, iteration:4900, loss(train):0.5378060340881348, loss(valid):0.5651367902755737, acc(train):0.7158928513526917, acc(valid):0.6965476274490356, precision0:variable(0.81197694), precision1:variable(0.64221308), recall0:variable(0.51650302), recall1:variable(0.87887864), f1score0:variable(0.63138106), f1score1:variable(0.74213455)
epoch:2, iteration:7350, loss(train):0.49216556549072266, loss(valid):0.5996798276901245, acc(train):0.7448724508285522, acc(valid):0.6938690543174744, precision0:variable(0.76395534), precision1:variable(0.65213675), recall0:variable(0.56666272), recall1:variable(0.82269079), f1score0:variable(0.65068261), f1score1:variable(0.72755205)
epoch:3, iteration:9800, loss(train):0.4091211259365082, loss(valid):0.7272861003875732, acc(train):0.795918345451355, acc(valid):0.677559494972229, precision0:variable(0.72186495), precision1:variable(0.6471179), recall0:variable(0.5842896), recall1:variable(0.7720139), f1score0:variable(0.64583197), f1score1:variable(0.70406993)
epoch:4, iteration:12250, loss(train):0.3078133463859558, loss(valid):0.8926137089729309, acc(train):0.8549745082855225, acc(valid):0.6598214507102966, precision0:variable(0.67307206), precision1:variable(0.6480315), recall0:variable(0.62983556), recall1:variable(0.69018809), f1score0:variable(0.65073642), f1score1:variable(0.66844579)
epoch:5, iteration:14700, loss(train):0.2158435732126236, loss(valid):1.1752021312713623, acc(train):0.9046428799629211, acc(valid):0.646309494972229, precision0:variable(0.65723231), precision1:variable(0.6364152), recall0:variable(0.62084467), recall1:variable(0.67209776), f1score0:variable(0.6385205), f1score1:variable(0.65376996)
epoch:6, iteration:17150, loss(train):0.14825809001922607, loss(valid):1.4552340507507324, acc(train):0.9386990070343018, acc(valid):0.6502976417541504, precision0:variable(0.65492788), precision1:variable(0.64575472), recall0:variable(0.64462321), recall1:variable(0.65604409), f1score0:variable(0.64973469), f1score1:variable(0.65085874)
epoch:7, iteration:19600, loss(train):0.10592703521251678, loss(valid):1.5686661005020142, acc(train):0.9579846858978271, acc(valid):0.6460714340209961, precision0:variable(0.6538981), precision1:variable(0.63870595), recall0:variable(0.63007216), recall1:variable(0.66227387), f1score0:variable(0.64176407), f1score1:variable(0.65027644)
epoch:8, iteration:22050, loss(train):0.07790004462003708, loss(valid):1.745383620262146, acc(train):0.970127522945404, acc(valid):0.6430952548980713, precision0:variable(0.64785173), precision1:variable(0.6384407), recall0:variable(0.63681533), recall1:variable(0.64945489), f1score0:variable(0.64228612), f1score1:variable(0.6439007)
epoch:9, iteration:24500, loss(train):0.06327802687883377, loss(valid):2.025538206100464, acc(train):0.9766071438789368, acc(valid):0.6381547451019287, precision0:variable(0.62921838), precision1:variable(0.64893617), recall0:variable(0.68378091), recall1:variable(0.5919492), f1score0:variable(0.65536595), f1score1:variable(0.61913414)
epoch:10, iteration:26950, loss(train):0.049840930849313736, loss(valid):2.2261617183685303, acc(train):0.9819387793540955, acc(valid):0.6495237946510315, precision0:variable(0.66077473), precision1:variable(0.63935169), recall0:variable(0.6235656), recall1:variable(0.67581167), f1score0:variable(0.64163116), f1score1:variable(0.6570763)
