epoch:0, iteration:7691, loss(train):0.2274302840232849, loss(valid):0.2150472104549408, acc(train):0.9358639121055603, acc(valid):0.9366099834442139, precision0:variable(0.93660997), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.96726753), f1score1:variable(nan)
epoch:1, iteration:15382, loss(train):0.21260429918766022, loss(valid):0.21473215520381927, acc(train):0.9359776973724365, acc(valid):0.9366099834442139, precision0:variable(0.93660997), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.96726753), f1score1:variable(nan)
epoch:2, iteration:23073, loss(train):0.20905354619026184, loss(valid):0.2153586894273758, acc(train):0.9359803795814514, acc(valid):0.9366099834442139, precision0:variable(0.93660997), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.96726753), f1score1:variable(nan)
epoch:3, iteration:30764, loss(train):0.20577873289585114, loss(valid):0.21635182201862335, acc(train):0.9359776973724365, acc(valid):0.9366099834442139, precision0:variable(0.93660997), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.96726753), f1score1:variable(nan)
epoch:4, iteration:38455, loss(train):0.2019539475440979, loss(valid):0.2182822823524475, acc(train):0.9359803795814514, acc(valid):0.9366099834442139, precision0:variable(0.93660997), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.96726753), f1score1:variable(nan)
epoch:5, iteration:46146, loss(train):0.19701461493968964, loss(valid):0.22005055844783783, acc(train):0.9359803795814514, acc(valid):0.9366099834442139, precision0:variable(0.93660997), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.96726753), f1score1:variable(nan)
epoch:6, iteration:53837, loss(train):0.19043701887130737, loss(valid):0.22483058273792267, acc(train):0.9360291361808777, acc(valid):0.9365720748901367, precision0:variable(0.93660757), precision1:variable(0.), recall0:variable(0.99995951), recall1:variable(0.), f1score0:variable(0.9672473), f1score1:variable(nan)
epoch:7, iteration:61528, loss(train):0.18146918714046478, loss(valid):0.23002982139587402, acc(train):0.936638593673706, acc(valid):0.9360979795455933, precision0:variable(0.9366272), precision1:variable(0.09090909), recall0:variable(0.99939264), recall1:variable(0.0008974), f1score0:variable(0.9669925), f1score1:variable(0.00177725)
epoch:8, iteration:69219, loss(train):0.16943766176700592, loss(valid):0.24010683596134186, acc(train):0.9393501281738281, acc(valid):0.9342207312583923, precision0:variable(0.93693985), precision1:variable(0.1576087), recall0:variable(0.99686197), recall1:variable(0.00867484), f1score0:variable(0.96597252), f1score1:variable(0.01644457)
epoch:9, iteration:76910, loss(train):0.15440848469734192, loss(valid):0.2563333809375763, acc(train):0.9440904855728149, acc(valid):0.9344293475151062, precision0:variable(0.93706946), precision1:variable(0.19251337), recall0:variable(0.99694295), recall1:variable(0.01076877), f1score0:variable(0.96607942), f1score1:variable(0.0203966)
epoch:10, iteration:84601, loss(train):0.13589860498905182, loss(valid):0.27463650703430176, acc(train):0.9503965377807617, acc(valid):0.9223505258560181, precision0:variable(0.93788304), precision1:variable(0.1284585), recall0:variable(0.98214358), recall1:variable(0.03888723), f1score0:variable(0.95950316), f1score1:variable(0.05970149)
